Sequence;subscriber_id;publisher_id;Data_size;publish_interval;publisher_number;subscriber_number;Latency(ns);publish_time(ns)
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;0;100;10;20;9;0;0
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;0;100;10;20;9;0;0
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;0;100;10;20;9;0;0
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;0;100;10;20;9;0;0
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;0;100;10;20;9;0;0
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;0;100;10;20;9;0;0
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;0;100;10;20;9;0;0
77;7;0;100;10;20;9;0;0
78;7;0;100;10;20;9;0;0
79;7;0;100;10;20;9;0;0
80;7;0;100;10;20;9;0;0
81;7;0;100;10;20;9;0;0
82;7;0;100;10;20;9;0;0
83;7;0;100;10;20;9;0;0
84;7;0;100;10;20;9;0;0
85;7;0;100;10;20;9;0;0
86;7;0;100;10;20;9;0;0
87;7;0;100;10;20;9;0;0
88;7;0;100;10;20;9;0;0
89;7;0;100;10;20;9;0;0
90;7;0;100;10;20;9;0;0
91;7;0;100;10;20;9;0;0
92;7;0;100;10;20;9;0;0
93;7;0;100;10;20;9;0;0
94;7;0;100;10;20;9;0;0
95;7;0;100;10;20;9;0;0
96;7;0;100;10;20;9;0;0
97;7;0;100;10;20;9;0;0
98;7;0;100;10;20;9;0;0
99;7;0;100;10;20;9;0;0
0;7;0;100;10;20;9;0;0
1;7;0;100;10;20;9;0;0
2;7;0;100;10;20;9;0;0
3;7;0;100;10;20;9;0;0
4;7;0;100;10;20;9;0;0
5;7;0;100;10;20;9;0;0
6;7;0;100;10;20;9;0;0
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;0;100;10;20;9;0;0
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;0;100;10;20;9;0;0
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;0;100;10;20;9;0;0
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;0;100;10;20;9;0;0
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;0;100;10;20;9;0;0
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;0;100;10;20;9;0;0
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;1;100;10;20;9;376570;1726179926856417496
77;7;0;100;10;20;9;0;0
78;7;0;100;10;20;9;0;0
79;7;0;100;10;20;9;0;0
80;7;0;100;10;20;9;0;0
81;7;0;100;10;20;9;0;0
82;7;0;100;10;20;9;0;0
83;7;0;100;10;20;9;0;0
84;7;0;100;10;20;9;0;0
85;7;0;100;10;20;9;0;0
86;7;0;100;10;20;9;0;0
87;7;0;100;10;20;9;0;0
88;7;0;100;10;20;9;0;0
89;7;0;100;10;20;9;0;0
90;7;0;100;10;20;9;0;0
91;7;0;100;10;20;9;0;0
92;7;0;100;10;20;9;0;0
93;7;0;100;10;20;9;0;0
94;7;0;100;10;20;9;0;0
95;7;0;100;10;20;9;0;0
96;7;0;100;10;20;9;0;0
97;7;0;100;10;20;9;0;0
98;7;0;100;10;20;9;0;0
99;7;0;100;10;20;9;0;0
0;7;0;100;10;20;9;0;0
1;7;0;100;10;20;9;0;0
2;7;0;100;10;20;9;0;0
3;7;0;100;10;20;9;0;0
4;7;0;100;10;20;9;0;0
5;7;0;100;10;20;9;0;0
6;7;0;100;10;20;9;0;0
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;2;100;10;20;9;286888;1726179926256403101
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;0;100;10;20;9;0;0
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;2;100;10;20;9;342647;1726179926456401990
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;2;100;10;20;9;314974;1726179926556428094
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;0;100;10;20;9;0;0
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;0;100;10;20;9;0;0
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;0;100;10;20;9;0;0
77;7;0;100;10;20;9;0;0
78;7;0;100;10;20;9;0;0
79;7;0;100;10;20;9;0;0
80;7;0;100;10;20;9;0;0
81;7;0;100;10;20;9;0;0
82;7;0;100;10;20;9;0;0
83;7;0;100;10;20;9;0;0
84;7;0;100;10;20;9;0;0
85;7;0;100;10;20;9;0;0
86;7;2;100;10;20;9;300209;1726179926956402311
87;7;0;100;10;20;9;0;0
88;7;0;100;10;20;9;0;0
89;7;0;100;10;20;9;0;0
90;7;0;100;10;20;9;0;0
91;7;0;100;10;20;9;0;0
92;7;0;100;10;20;9;0;0
93;7;0;100;10;20;9;0;0
94;7;0;100;10;20;9;0;0
95;7;0;100;10;20;9;0;0
96;7;0;100;10;20;9;0;0
97;7;0;100;10;20;9;0;0
98;7;0;100;10;20;9;0;0
99;7;0;100;10;20;9;0;0
0;7;0;100;10;20;9;0;0
1;7;0;100;10;20;9;0;0
2;7;0;100;10;20;9;0;0
3;7;0;100;10;20;9;0;0
4;7;0;100;10;20;9;0;0
5;7;0;100;10;20;9;0;0
6;7;0;100;10;20;9;0;0
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;0;100;10;20;9;0;0
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;3;100;10;20;9;307151;1726179926356404777
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;0;100;10;20;9;0;0
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;0;100;10;20;9;0;0
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;3;100;10;20;9;303255;1726179926656399993
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;0;100;10;20;9;0;0
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;0;100;10;20;9;0;0
77;7;0;100;10;20;9;0;0
78;7;0;100;10;20;9;0;0
79;7;0;100;10;20;9;0;0
80;7;0;100;10;20;9;0;0
81;7;0;100;10;20;9;0;0
82;7;0;100;10;20;9;0;0
83;7;0;100;10;20;9;0;0
84;7;0;100;10;20;9;0;0
85;7;0;100;10;20;9;0;0
86;7;0;100;10;20;9;0;0
87;7;0;100;10;20;9;0;0
88;7;0;100;10;20;9;0;0
89;7;0;100;10;20;9;0;0
90;7;0;100;10;20;9;0;0
91;7;0;100;10;20;9;0;0
92;7;0;100;10;20;9;0;0
93;7;0;100;10;20;9;0;0
94;7;0;100;10;20;9;0;0
95;7;0;100;10;20;9;0;0
96;7;3;100;10;20;9;329192;1726179927056405661
97;7;0;100;10;20;9;0;0
98;7;0;100;10;20;9;0;0
99;7;0;100;10;20;9;0;0
0;7;0;100;10;20;9;0;0
1;7;0;100;10;20;9;0;0
2;7;0;100;10;20;9;0;0
3;7;0;100;10;20;9;0;0
4;7;0;100;10;20;9;0;0
5;7;0;100;10;20;9;0;0
6;7;4;100;10;20;9;189029;1726179926156307149
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;0;100;10;20;9;0;0
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;0;100;10;20;9;0;0
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;0;100;10;20;9;0;0
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;0;100;10;20;9;0;0
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;0;100;10;20;9;0;0
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;4;100;10;20;9;382613;1726179926756409023
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;0;100;10;20;9;0;0
77;7;0;100;10;20;9;0;0
78;7;0;100;10;20;9;0;0
79;7;0;100;10;20;9;0;0
80;7;0;100;10;20;9;0;0
81;7;0;100;10;20;9;0;0
82;7;0;100;10;20;9;0;0
83;7;0;100;10;20;9;0;0
84;7;0;100;10;20;9;0;0
85;7;0;100;10;20;9;0;0
86;7;0;100;10;20;9;0;0
87;7;0;100;10;20;9;0;0
88;7;0;100;10;20;9;0;0
89;7;0;100;10;20;9;0;0
90;7;0;100;10;20;9;0;0
91;7;0;100;10;20;9;0;0
92;7;0;100;10;20;9;0;0
93;7;0;100;10;20;9;0;0
94;7;0;100;10;20;9;0;0
95;7;0;100;10;20;9;0;0
96;7;0;100;10;20;9;0;0
97;7;0;100;10;20;9;0;0
98;7;0;100;10;20;9;0;0
99;7;0;100;10;20;9;0;0
0;7;0;100;10;20;9;0;0
1;7;0;100;10;20;9;0;0
2;7;0;100;10;20;9;0;0
3;7;0;100;10;20;9;0;0
4;7;0;100;10;20;9;0;0
5;7;0;100;10;20;9;0;0
6;7;0;100;10;20;9;0;0
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;0;100;10;20;9;0;0
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;0;100;10;20;9;0;0
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;0;100;10;20;9;0;0
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;0;100;10;20;9;0;0
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;0;100;10;20;9;0;0
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;0;100;10;20;9;0;0
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;0;100;10;20;9;0;0
77;7;0;100;10;20;9;0;0
78;7;0;100;10;20;9;0;0
79;7;0;100;10;20;9;0;0
80;7;0;100;10;20;9;0;0
81;7;0;100;10;20;9;0;0
82;7;0;100;10;20;9;0;0
83;7;0;100;10;20;9;0;0
84;7;0;100;10;20;9;0;0
85;7;0;100;10;20;9;0;0
86;7;0;100;10;20;9;0;0
87;7;0;100;10;20;9;0;0
88;7;0;100;10;20;9;0;0
89;7;0;100;10;20;9;0;0
90;7;0;100;10;20;9;0;0
91;7;0;100;10;20;9;0;0
92;7;0;100;10;20;9;0;0
93;7;0;100;10;20;9;0;0
94;7;0;100;10;20;9;0;0
95;7;0;100;10;20;9;0;0
96;7;0;100;10;20;9;0;0
97;7;0;100;10;20;9;0;0
98;7;0;100;10;20;9;0;0
99;7;0;100;10;20;9;0;0
0;7;6;100;10;20;9;384098;1726179926096622601
1;7;0;100;10;20;9;0;0
2;7;0;100;10;20;9;0;0
3;7;0;100;10;20;9;0;0
4;7;0;100;10;20;9;0;0
5;7;0;100;10;20;9;0;0
6;7;0;100;10;20;9;0;0
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;0;100;10;20;9;0;0
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;0;100;10;20;9;0;0
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;0;100;10;20;9;0;0
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;0;100;10;20;9;0;0
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;0;100;10;20;9;0;0
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;0;100;10;20;9;0;0
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;0;100;10;20;9;0;0
77;7;0;100;10;20;9;0;0
78;7;0;100;10;20;9;0;0
79;7;0;100;10;20;9;0;0
80;7;0;100;10;20;9;0;0
81;7;0;100;10;20;9;0;0
82;7;0;100;10;20;9;0;0
83;7;0;100;10;20;9;0;0
84;7;0;100;10;20;9;0;0
85;7;0;100;10;20;9;0;0
86;7;0;100;10;20;9;0;0
87;7;0;100;10;20;9;0;0
88;7;0;100;10;20;9;0;0
89;7;0;100;10;20;9;0;0
90;7;0;100;10;20;9;0;0
91;7;0;100;10;20;9;0;0
92;7;0;100;10;20;9;0;0
93;7;0;100;10;20;9;0;0
94;7;0;100;10;20;9;0;0
95;7;0;100;10;20;9;0;0
96;7;0;100;10;20;9;0;0
97;7;0;100;10;20;9;0;0
98;7;0;100;10;20;9;0;0
99;7;0;100;10;20;9;0;0
0;7;0;100;10;20;9;0;0
1;7;0;100;10;20;9;0;0
2;7;0;100;10;20;9;0;0
3;7;0;100;10;20;9;0;0
4;7;0;100;10;20;9;0;0
5;7;0;100;10;20;9;0;0
6;7;0;100;10;20;9;0;0
7;7;0;100;10;20;9;0;0
8;7;0;100;10;20;9;0;0
9;7;0;100;10;20;9;0;0
10;7;0;100;10;20;9;0;0
11;7;0;100;10;20;9;0;0
12;7;0;100;10;20;9;0;0
13;7;0;100;10;20;9;0;0
14;7;0;100;10;20;9;0;0
15;7;0;100;10;20;9;0;0
16;7;0;100;10;20;9;0;0
17;7;0;100;10;20;9;0;0
18;7;0;100;10;20;9;0;0
19;7;0;100;10;20;9;0;0
20;7;0;100;10;20;9;0;0
21;7;0;100;10;20;9;0;0
22;7;0;100;10;20;9;0;0
23;7;0;100;10;20;9;0;0
24;7;0;100;10;20;9;0;0
25;7;0;100;10;20;9;0;0
26;7;0;100;10;20;9;0;0
27;7;0;100;10;20;9;0;0
28;7;0;100;10;20;9;0;0
29;7;0;100;10;20;9;0;0
30;7;0;100;10;20;9;0;0
31;7;0;100;10;20;9;0;0
32;7;0;100;10;20;9;0;0
33;7;0;100;10;20;9;0;0
34;7;0;100;10;20;9;0;0
35;7;0;100;10;20;9;0;0
36;7;0;100;10;20;9;0;0
37;7;0;100;10;20;9;0;0
38;7;0;100;10;20;9;0;0
39;7;0;100;10;20;9;0;0
40;7;0;100;10;20;9;0;0
41;7;0;100;10;20;9;0;0
42;7;0;100;10;20;9;0;0
43;7;0;100;10;20;9;0;0
44;7;0;100;10;20;9;0;0
45;7;0;100;10;20;9;0;0
46;7;0;100;10;20;9;0;0
47;7;0;100;10;20;9;0;0
48;7;0;100;10;20;9;0;0
49;7;0;100;10;20;9;0;0
50;7;0;100;10;20;9;0;0
51;7;0;100;10;20;9;0;0
52;7;0;100;10;20;9;0;0
53;7;0;100;10;20;9;0;0
54;7;0;100;10;20;9;0;0
55;7;0;100;10;20;9;0;0
56;7;0;100;10;20;9;0;0
57;7;0;100;10;20;9;0;0
58;7;0;100;10;20;9;0;0
59;7;0;100;10;20;9;0;0
60;7;0;100;10;20;9;0;0
61;7;0;100;10;20;9;0;0
62;7;0;100;10;20;9;0;0
63;7;0;100;10;20;9;0;0
64;7;0;100;10;20;9;0;0
65;7;0;100;10;20;9;0;0
66;7;0;100;10;20;9;0;0
67;7;0;100;10;20;9;0;0
68;7;0;100;10;20;9;0;0
69;7;0;100;10;20;9;0;0
70;7;0;100;10;20;9;0;0
71;7;0;100;10;20;9;0;0
72;7;0;100;10;20;9;0;0
73;7;0;100;10;20;9;0;0
74;7;0;100;10;20;9;0;0
75;7;0;100;10;20;9;0;0
76;7;0;100;10;20;9;0;0
